"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11999","Valid Login Test","chromium","Mon Dec 01 11:22:31 IST 2025","passed","Mon Dec 01 11:22:43 IST 2025","Login Functionality","auth/login.spec.js","",""
"","10806","Invalid Login Test","chromium","Mon Dec 01 11:22:31 IST 2025","passed","Mon Dec 01 11:22:42 IST 2025","Login Functionality","auth/login.spec.js","",""
